Title	Season	Producer	Singer	Date	Dislike	Like	View	URL	LD-Ratio
Dasht-e-Tanhai	5	Rohail Hyaat	Meesha Shafi	" Jul 7, 2012"	"1,304"	"29,621"	"5,910,641 views"	https://www.youtube.com/watch?v=tYB-6i_q4sU	0.044022822
Seher	5	Rohail Hyaat	Farhan Rais Khan	" Jul 7, 2012"	60	"2,850"	"331,085 views"	https://www.youtube.com/watch?v=HphWB4NkFcY	0.021052632
Jogi	6	Rohail Hyaat	"Fariha Pervez,Muazzam Ali Khan"	" Oct 20, 2013"	740	"13,210"	"2,962,839 views"	https://www.youtube.com/watch?v=6StD5G12vjM	0.056018168
Laili Jaan	6	Rohail Hyaat	"Zeb, Haniya"	" Oct 24, 2013"	134	"4,849"	"677,427 views"	https://www.youtube.com/watch?v=2p9y_OsVV5s	0.027634564
Rabba Ho	6	Rohail Hyaat	"Saieen Zahoor,Sanam Marvi"	" Oct 26, 2013"	385	"10,803"	"1,999,044 views"	https://www.youtube.com/watch?v=OEjfiBWPHmA	0.035638249
Khayaal	6	Rohail Hyaat	Umair Jaswal	" Oct 26, 2013"	144	"3,550"	"511,700 views"	https://www.youtube.com/watch?v=KOIUge8cnO4	0.04056338
Ishq Di Booti	6	Rohail Hyaat	Abrar-ul-Haq	" Nov 23, 2013"	"1,165"	"15,968"	"3,665,755 views"	https://www.youtube.com/watch?v=QLf2ewlaLMA	0.072958417
Laage Re Nain	6	Rohail Hyaat	Ayesha Omer	" Nov 23, 2013"	236	"8,825"	"952,462 views"	https://www.youtube.com/watch?v=VuvfZ3UJEh8	0.02674221
Tori Chab and Kalenin Burcu Muyam	6	Rohail Hyaat	"Rahet Fateh Ali Khan, Sumru Agiryuruyen"	" Nov 23, 2013"	69	"2,607"	"321,416 views"	https://www.youtube.com/watch?v=zMBD4ONmBk0	0.026467204
Neer Bharan	6	Rohail Hyaat	Zara Madani	" Dec 7, 2013"	72	"1,536"	"200,693 views"	https://www.youtube.com/watch?v=dTyqsduVxds	0.046875
Raat Gaey	6	Rohail Hyaat	Zoe Viccaji	" Dec 7, 2013"	63	987	"155,140 views"	https://www.youtube.com/watch?v=PO-17y2F-Mc	0.063829787
Channa	6	Rohail Hyaat	Atif Aslam	" Dec 7, 2013"	949	"33,471"	"3,546,434 views"	https://www.youtube.com/watch?v=8xdbvxXPHaI	0.028352903
Yaar Vekho	6	Rohail Hyaat	Sanam Marvi	" Dec 7, 2013"	150	"6,592"	"890,396 views"	https://www.youtube.com/watch?v=SiIu-COuHKw	0.022754854
Aamay Bhashaili	6	Rohail Hyaat	"Alamgir,Fariha Pervez"	" Dec 21, 2013"	"2,264"	"69,177"	"10,859,118 views"	https://www.youtube.com/watch?v=FnDmg-cBVsA	0.032727641
Mahi Gal	6	Rohail Hyaat	Asad Abbas	" Dec 21, 2013"	62	"2,068"	"291,646 views"	https://www.youtube.com/watch?v=r8rhSkV9zeQ	0.029980658
Ishq Kinara	6	Rohail Hyaat	"Zoe Viccaji, Sumru Agiryuruyen"	" Dec 21, 2013"	522	"19,124"	"2,315,628 views"	https://www.youtube.com/watch?v=Pxds9ELol1A	0.027295545
Laila O Laila	6	Rohail Hyaat	Rostam Mirlashri	" Dec 21, 2013"	786	"19,551"	"3,605,019 views"	https://www.youtube.com/watch?v=EAwJynFW64U	0.040202547
Sawaal	6	Rohail Hyaat	"Ali Azmat, Muazzam Ali Khan"	" Jan 4, 2014"	502	"9,693"	"1,593,590 views"	https://www.youtube.com/watch?v=eHYNRmXsoKI	0.051789952
Miyan Ki Malhaar	6	Rohail Hyaat	"Ayesha Omer,Fariha Pervez, Zara Madani"	" Jan 4, 2014"	269	"7,278"	"985,066 views"	https://www.youtube.com/watch?v=u7R4kdCi1zY	0.036960703
Babu Bhai	6	Rohail Hyaat	Ali Azmat	" Oct 26, 2013"	148	"1,860"	"329,216 views"	https://www.youtube.com/watch?v=awp1Zr94Yrw	0.079569892
Mein Sufi Hoon	7	Strings	"Abida Parveen, Ustaad Raees Khan"	" Sep 20, 2014"	155	"5,210"	"810,761 views"	https://www.youtube.com/watch?v=qOgZJJmLfhA	0.02975048
Lai Beqadraa Nal Yaari	7	Strings	Niazi Brothers	" Sep 20, 2014"	270	"7,446"	"1,150,604 views"	https://www.youtube.com/watch?v=brqDDMBjvP0	0.03626108
Tum Naraaz Ho	7	Strings	Sajjad Ali	" Sep 20, 2014"	734	"26,562"	"3,469,175 views"	https://www.youtube.com/watch?v=Fx7hHmPw8IE	0.027633461
Sab Aakho Ali Ali		Strings	Asrar	" Sep 20, 2014"	217	"7,019"	"830,707 views"	https://www.youtube.com/watch?v=kEz93Qn8Z_s	0.030916085
Phool Banro	7	Strings	"Humera Channa, Abbas Ali Khan"	" Sep 27, 2014"	50	"2,066"	"342,356 views"	https://www.youtube.com/watch?v=UOeZCNIAUvc	0.024201355
Washmallay	7	Strings	"Akhtar Chanal, Komal Rizvi, Momin Durrani"	" Sep 27, 2014"	263	"6,559"	"953,523 views"	https://www.youtube.com/watch?v=5mqFihvptHI	0.040097576
Charkha	7	Strings	Javed Bashir	" Sep 27, 2014"	94	"3,519"	"443,212 views"	https://www.youtube.com/watch?v=rF_2pqJ86L4	0.026712134
